f1	f2
93.892	93.966
93.890	93.966
93.888	93.978
93.890	93.978
93.894	93.978
93.894	93.978
93.896	93.982
93.896	93.982
93.890	93.982
93.892	93.970
93.898	93.980
93.900	93.982
93.902	93.982
93.900	93.982
93.896	93.982
93.900	93.982
93.894	93.986
93.892	93.986
93.890	93.986
93.890	93.986
93.890	93.986
93.890	93.986
93.886	93.986
93.884	93.986
93.872	93.954
93.878	93.954
93.888	93.954
93.884	93.954
93.888	93.954
93.886	93.954
93.886	93.954
93.890	93.954
93.890	93.954
93.886	93.954
93.886	93.954
93.886	93.954
93.892	93.954
93.890	93.954
93.892	93.954
93.892	93.954
93.888	93.954
93.888	93.966
93.890	93.966
93.884	93.966
93.880	93.970
93.884	93.960
93.880	93.960
93.884	93.960
93.882	93.960
93.886	93.960
93.886	93.960
93.896	93.974
93.902	93.974
93.904	93.974
93.904	93.988
93.902	93.990
93.904	93.992
93.902	93.994
93.900	93.980
93.898	93.980
93.900	93.982
93.898	93.982
93.894	93.982
93.894	93.982
93.894	93.984
93.898	93.984
93.898	93.984
93.896	93.992
93.898	93.992
93.900	93.992
93.902	93.992
93.900	93.992
93.900	93.992
93.898	93.992
93.892	93.980
93.886	93.974
93.890	93.974
93.888	93.974
93.892	93.974
93.888	93.974
93.888	93.974
93.892	93.982
93.888	93.982
93.890	93.974
93.890	93.974
93.888	93.974
93.886	93.974
93.886	93.974
93.884	93.974
93.888	93.974
93.888	93.974
93.890	93.974
93.886	93.974
93.892	93.974
93.888	93.970
93.888	93.970
93.888	93.970
93.886	93.970
93.888	93.970
93.884	93.970
93.884	93.970
93.882	93.970
93.870	93.970
93.868	93.952
93.870	93.952
93.870	93.952
93.872	93.952
93.872	93.966
93.866	93.958
93.864	93.950
93.860	93.950
93.862	93.950
93.852	93.946
93.850	93.946
93.850	93.940
93.854	93.940
93.852	93.940
93.856	93.940
93.858	93.940
93.858	93.948
93.858	93.948
93.864	93.948
93.858	93.948
93.858	93.948
93.860	93.948
93.862	93.948
93.864	93.956
93.862	93.956
93.862	93.948
93.862	93.948
93.860	93.948
93.860	93.948
93.860	93.948
93.864	93.948
93.864	93.948
93.864	93.948
93.868	93.950
93.868	93.952
93.864	93.952
93.862	93.952
93.860	93.952
93.860	93.952
93.860	93.952
93.858	93.952
93.860	93.952
93.870	93.952
93.876	93.966
93.870	93.966
93.872	93.958
93.864	93.956
93.864	93.956
93.868	93.956
93.868	93.956
93.866	93.956
93.866	93.956
93.860	93.956
93.860	93.956
93.860	93.956
93.862	93.956
93.858	93.956
93.856	93.956
93.858	93.956
93.858	93.942
93.858	93.942
93.858	93.942
93.858	93.942
93.856	93.942
93.846	93.936
93.836	93.920
93.828	93.904
93.834	93.926
93.828	93.920
93.838	93.920
93.836	93.920
93.834	93.920
93.836	93.920
93.832	93.920
93.832	93.920
93.832	93.922
93.838	93.920
93.838	93.920
93.838	93.920
93.838	93.920
93.842	93.920
93.846	93.928
93.860	93.938
93.854	93.938
93.858	93.938
93.854	93.938
93.850	93.938
93.848	93.936
93.846	93.936
93.852	93.938
93.854	93.938
93.852	93.938
93.848	93.938
93.846	93.930
93.842	93.930
93.842	93.930
93.720	93.792
93.776	93.860
93.774	93.860
93.770	93.860
93.756	93.848
93.760	93.848
93.758	93.846
93.740	93.846
93.740	93.830
93.740	93.834
93.736	93.834
93.734	93.834
93.716	93.834
93.736	93.834
93.732	93.834
93.734	93.834
93.730	93.834
93.738	93.834
93.738	93.834
93.738	93.834
93.742	93.834
93.738	93.834
93.730	93.834
93.730	93.834
93.730	93.834
93.732	93.834
93.734	93.818
93.738	93.818
93.736	93.818
93.740	93.818
93.748	93.838
93.754	93.840
93.754	93.840
93.754	93.840
93.750	93.834
93.756	93.834
93.762	93.834
93.764	93.850
93.760	93.850
93.764	93.850
93.762	93.850
93.762	93.850
93.764	93.850
93.764	93.850
93.756	93.850
93.756	93.850
93.744	93.840
93.738	93.826
93.738	93.826
93.736	93.826
93.734	93.826
93.740	93.826
93.738	93.826
93.736	93.826
93.736	93.826
93.744	93.826
93.736	93.826
93.730	93.828
93.732	93.830
93.734	93.830
93.730	93.830
93.736	93.822
93.736	93.822
93.734	93.822
93.736	93.828
93.734	93.828
93.732	93.828
93.732	93.828
93.732	93.828
93.726	93.828
93.726	93.828
93.704	93.828
